name,time,position,price,trade_fee,multiplier,object_price
ao2509C3100.SF,20250611145825,1,61.0,14.0,20,2895.0
TA509C5000.ZF,20250611135815,1,36.0,2.0,5,4632.0
jd2508-C-3800.DF,20250611133839,2,20.5,4.0,10,3515.0
TA509C5000.ZF,20250611112224,2,36.0,4.0,5,4624.0
ao2509C3100.SF,20250611104948,1,60.0,14.0,20,2892.0
TA509C5000.ZF,20250611104420,1,33.0,2.0,5,4594.0
TA509C5000.ZF,20250611104357,1,33.0,2.0,5,4594.0
TA509C5000.ZF,20250611100738,1,32.5,2.0,5,4588.0
TA509C5000.ZF,20250611095057,1,32.5,2.0,5,4586.0
jd2508-C-3800.DF,20250611094949,2,20.5,4.0,10,3512.0
TA509C5000.ZF,20250611094549,1,32.5,2.0,5,4586.0
TA509C5000.ZF,20250611094519,1,32.5,2.0,5,4586.0
ao2509C3100.SF,20250611094103,1,59.0,14.0,20,2891.0
